Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
10.0,0,63.0,0.0,6.3,3,1,v West Indies,Napier,2009-01-13,ODI # 2792,60.0,Tim Southee
10.0,0,34.0,1.0,3.4,2,1,v Australia,Perth,2009-02-01,ODI # 2811,60.0,Tim Southee
10.0,0,57.0,1.0,5.7,2,1,v Australia,Melbourne,2009-02-06,ODI # 2816,60.0,Tim Southee
10.0,0,52.0,0.0,5.2,2,1,v Australia,Sydney,2009-02-08,ODI # 2817,60.0,Tim Southee
10.0,0,61.0,1.0,6.1,2,2,v Australia,Adelaide,2009-02-10,ODI # 2819,60.0,Tim Southee
5.0,0,49.0,0.0,9.8,2,1,v Australia,Brisbane,2009-02-13,ODI # 2820,30.0,Tim Southee
10.0,0,105.0,0.0,10.5,2,1,v India,Christchurch,2009-03-08,ODI # 2823,60.0,Tim Southee
10.0,2,54.0,1.0,5.4,2,1,v Pakistan,Abu Dhabi,2009-11-03,ODI # 2921,60.0,Tim Southee
8.0,0,48.0,1.0,6.0,3,2,v Pakistan,Abu Dhabi,2009-11-06,ODI # 2924,48.0,Tim Southee
10.0,0,26.0,2.0,2.6,4,2,v Pakistan,Abu Dhabi,2009-11-09,ODI # 2927,60.0,Tim Southee
7.0,0,34.0,0.0,4.85,2,2,v Bangladesh,Napier,2010-02-05,ODI # 2949,42.0,Tim Southee
10.0,2,37.0,3.0,3.7,1,1,v Bangladesh,Christchurch,2010-02-11,ODI # 2953,60.0,Tim Southee
8.0,0,66.0,1.0,8.25,1,1,v Australia,Napier,2010-03-03,ODI # 2966,48.0,Tim Southee
10.0,0,57.0,0.0,5.7,2,1,v Australia,Auckland,2010-03-06,ODI # 2969,60.0,Tim Southee
10.0,0,43.0,1.0,4.3,2,2,v Australia,Hamilton,2010-03-09,ODI # 2971,60.0,Tim Southee
5.1,0,55.0,0.0,10.64,2,2,v Australia,Auckland,2010-03-11,ODI # 2973,30.0,Tim Southee
9.0,0,36.0,4.0,4.0,4,2,v Australia,Wellington,2010-03-13,ODI # 2975,54.0,Tim Southee
6.0,0,41.0,1.0,6.83,3,2,v Sri Lanka,Dambulla,2010-08-13,ODI # 3031,36.0,Tim Southee
10.0,2,49.0,4.0,4.9,2,1,v India,Dambulla,2010-08-25,ODI # 3039,60.0,Tim Southee
7.0,0,37.0,0.0,5.28,2,1,v Bangladesh,Mirpur,2010-10-05,ODI # 3051,42.0,Tim Southee
3.0,0,20.0,0.0,6.66,2,2,v Bangladesh,Mirpur,2010-10-11,ODI # 3054,18.0,Tim Southee
5.0,0,33.0,0.0,6.6,6,2,v India,Jaipur,2010-12-01,ODI # 3072,30.0,Tim Southee
10.0,0,64.0,1.0,6.4,2,2,v India,Bengaluru,2010-12-07,ODI # 3076,60.0,Tim Southee
9.3,0,33.0,5.0,3.47,2,1,v Pakistan,Wellington,2011-01-22,ODI # 3085,57.0,Tim Southee
2.0,0,10.0,0.0,5.0,2,1,v Pakistan,Queenstown,2011-01-26,ODI # 3088,12.0,Tim Southee
10.0,0,57.0,2.0,5.7,2,1,v Pakistan,Christchurch,2011-01-29,ODI # 3090,60.0,Tim Southee
10.0,0,70.0,0.0,7.0,1,2,v Pakistan,Napier,2011-02-01,ODI # 3093,60.0,Tim Southee
8.0,0,47.0,0.0,5.87,2,2,v Pakistan,Auckland,2011-02-05,ODI # 3097,48.0,Tim Southee
6.0,0,13.0,3.0,2.16,1,1,v Kenya,Chennai,2011-02-20,ODI # 3101,36.0,Tim Southee
10.0,2,45.0,1.0,4.5,1,2,v Australia,Nagpur,2011-02-25,ODI # 3107,60.0,Tim Southee
9.2,3,29.0,3.0,3.1,2,1,v Zimbabwe,Ahmedabad,2011-03-04,ODI # 3117,55.0,Tim Southee
8.0,1,25.0,3.0,3.12,2,2,v Pakistan,Pallekele,2011-03-08,ODI # 3123,48.0,Tim Southee
10.0,1,36.0,1.0,3.6,2,2,v Canada,Wankhede,2011-03-13,ODI # 3129,60.0,Tim Southee
10.0,0,63.0,3.0,6.3,1,1,v Sri Lanka,Wankhede,2011-03-18,ODI # 3137,60.0,Tim Southee
9.0,0,44.0,1.0,4.88,3,2,v South Africa,Mirpur,2011-03-25,ODI # 3144,54.0,Tim Southee
10.0,2,57.0,3.0,5.7,2,2,v Sri Lanka,Colombo (RPS),2011-03-29,ODI # 3146,60.0,Tim Southee
8.0,0,27.0,0.0,3.37,3,2,v Zimbabwe,Dunedin,2012-02-03,ODI # 3230,48.0,Tim Southee
10.0,0,50.0,1.0,5.0,2,2,v Zimbabwe,Whangarei,2012-02-06,ODI # 3232,60.0,Tim Southee
10.0,0,64.0,1.0,6.4,2,2,v South Africa,Wellington,2012-02-25,ODI # 3249,60.0,Tim Southee
8.0,0,61.0,0.0,7.62,2,2,v South Africa,Napier,2012-02-29,ODI # 3252,48.0,Tim Southee
7.0,1,37.0,0.0,5.28,2,2,v West Indies,Kingston,2012-07-05,ODI # 3283,42.0,Tim Southee
10.0,1,55.0,3.0,5.5,2,1,v West Indies,Kingston,2012-07-07,ODI # 3285,60.0,Tim Southee
6.0,1,14.0,1.0,2.33,3,2,v West Indies,Basseterre,2012-07-11,ODI # 3288,36.0,Tim Southee
9.5,1,53.0,3.0,5.38,3,1,v West Indies,Basseterre,2012-07-14,ODI # 3289,59.0,Tim Southee
10.0,1,37.0,3.0,3.7,3,1,v West Indies,Basseterre,2012-07-16,ODI # 3290,60.0,Tim Southee
4.0,0,16.0,0.0,4.0,3,2,v Sri Lanka,Pallekele,2012-11-04,ODI # 3305,24.0,Tim Southee
7.0,0,50.0,1.0,7.14,3,2,v Sri Lanka,Pallekele,2012-11-06,ODI # 3306,42.0,Tim Southee
7.0,0,32.0,1.0,4.57,2,2,v Sri Lanka,Hambantota,2012-11-10,ODI # 3307,42.0,Tim Southee
5.3,2,18.0,3.0,3.27,2,1,v Sri Lanka,Hambantota,2012-11-12,ODI # 3308,32.0,Tim Southee
9.0,0,54.0,1.0,6.0,4,2,v England,Napier,2013-02-20,ODI # 3336,54.0,Tim Southee
10.0,1,48.0,3.0,4.8,2,2,v England,Auckland,2013-02-23,ODI # 3338,60.0,Tim Southee
10.0,2,37.0,3.0,3.7,3,1,v England,Lord's,2013-05-31,ODI # 3360,60.0,Tim Southee
9.0,0,65.0,0.0,7.22,3,1,v England,Nottingham,2013-06-05,ODI # 3362,54.0,Tim Southee
7.0,1,25.0,0.0,3.57,4,1,v Sri Lanka,Cardiff,2013-06-09,ODI # 3366,42.0,Tim Southee
4.0,1,26.0,0.0,6.5,4,1,v Australia,Birmingham,2013-06-12,ODI # 3369,24.0,Tim Southee
10.0,2,34.0,3.0,3.4,1,1,v Bangladesh,Mirpur,2013-10-29,ODI # 3423,60.0,Tim Southee
10.0,2,45.0,0.0,4.5,1,1,v Bangladesh,Mirpur,2013-10-31,ODI # 3426,60.0,Tim Southee
5.0,1,21.0,0.0,4.2,1,2,v West Indies,Nelson,2014-01-04,ODI # 3452,30.0,Tim Southee
10.0,0,64.0,0.0,6.4,1,1,v West Indies,Hamilton,2014-01-08,ODI # 3453,60.0,Tim Southee
9.4,2,43.0,1.0,4.44,1,2,v India,Napier,2014-01-19,ODI # 3456,58.0,Tim Southee
9.0,0,72.0,4.0,8.0,3,2,v India,Hamilton,2014-01-22,ODI # 3458,54.0,Tim Southee
10.0,0,74.0,1.0,7.4,1,2,v India,Auckland,2014-01-25,ODI # 3462,60.0,Tim Southee
10.0,1,36.0,2.0,3.6,2,1,v India,Hamilton,2014-01-28,ODI # 3465,60.0,Tim Southee
10.0,1,50.0,2.0,5.0,2,1,v South Africa,Mount Maunganui,2014-10-24,ODI # 3537,60.0,Tim Southee
7.4,0,29.0,0.0,3.78,1,1,v South Africa,Hamilton,2014-10-27,ODI # 3538,46.0,Tim Southee
10.0,1,59.0,3.0,5.9,1,1,v Sri Lanka,Nelson,2015-01-20,ODI # 3585,60.0,Tim Southee
7.4,0,42.0,2.0,5.47,1,2,v Sri Lanka,Dunedin,2015-01-23,ODI # 3588,46.0,Tim Southee
10.0,0,50.0,2.0,5.0,2,1,v Sri Lanka,Wellington,2015-01-29,ODI # 3594,60.0,Tim Southee
8.0,0,52.0,2.0,6.5,1,2,v Pakistan,Napier,2015-02-03,ODI # 3598,48.0,Tim Southee
10.0,1,43.0,2.0,4.3,1,2,v Sri Lanka,Christchurch,2015-02-14,ODI # 3599,60.0,Tim Southee
8.0,3,35.0,2.0,4.37,1,1,v Scotland,Dunedin,2015-02-17,ODI # 3604,48.0,Tim Southee
9.0,0,33.0,7.0,3.66,1,1,v England,Wellington,2015-02-20,ODI # 3607,54.0,Tim Southee
9.0,0,65.0,2.0,7.22,1,1,v Australia,Auckland,2015-02-28,ODI # 3617,54.0,Tim Southee
10.0,0,43.0,0.0,4.3,1,1,v Afghanistan,Napier,2015-03-08,ODI # 3628,60.0,Tim Southee
10.0,1,51.0,0.0,5.1,1,1,v Bangladesh,Hamilton,2015-03-13,ODI # 3634,60.0,Tim Southee
8.0,1,82.0,2.0,10.25,1,2,v West Indies,Wellington,2015-03-21,ODI # 3643,48.0,Tim Southee
9.0,1,55.0,0.0,6.11,1,1,v South Africa,Auckland,2015-03-24,ODI # 3644,54.0,Tim Southee
8.0,0,65.0,0.0,8.12,1,2,v Australia,Melbourne,2015-03-29,ODI # 3646,48.0,Tim Southee
9.0,0,68.0,0.0,7.55,1,2,v England,The Oval,2015-06-12,ODI # 3655,54.0,Tim Southee
8.2,1,44.0,3.0,5.28,1,1,v England,Southampton,2015-06-14,ODI # 3656,49.0,Tim Southee
10.0,0,70.0,1.0,7.0,2,2,v England,Nottingham,2015-06-17,ODI # 3657,60.0,Tim Southee
4.0,0,28.0,0.0,7.0,1,2,v England,Chester-le-Street,2015-06-20,ODI # 3659,24.0,Tim Southee
6.0,0,44.0,0.0,7.33,1,2,v Sri Lanka,Nelson,2015-12-31,ODI # 3717,36.0,Tim Southee
9.0,0,57.0,0.0,6.33,1,2,v India,Dharamsala,2016-10-16,ODI # 3796,54.0,Tim Southee
9.3,0,52.0,3.0,5.47,3,2,v India,Delhi,2016-10-20,ODI # 3797,57.0,Tim Southee
10.0,0,55.0,1.0,5.5,3,2,v India,Mohali,2016-10-23,ODI # 3798,60.0,Tim Southee
9.0,0,40.0,3.0,4.44,1,2,v India,Ranchi,2016-10-26,ODI # 3799,54.0,Tim Southee
10.0,0,56.0,0.0,5.6,1,1,v India,Visakhapatnam,2016-10-29,ODI # 3800,60.0,Tim Southee
10.0,0,63.0,2.0,6.3,4,1,v Australia,Canberra,2016-12-06,ODI # 3812,60.0,Tim Southee
10.0,2,45.0,0.0,4.5,1,1,v Australia,Melbourne,2016-12-09,ODI # 3813,60.0,Tim Southee
9.5,2,63.0,2.0,6.4,2,2,v Bangladesh,Christchurch,2016-12-26,ODI # 3814,59.0,Tim Southee
9.0,1,33.0,2.0,3.66,2,2,v Bangladesh,Nelson,2016-12-29,ODI # 3815,54.0,Tim Southee
10.0,2,45.0,1.0,4.5,1,1,v Bangladesh,Nelson,2016-12-31,ODI # 3816,60.0,Tim Southee
10.0,0,63.0,1.0,6.3,1,2,v Australia,Auckland,2017-01-30,ODI # 3829,60.0,Tim Southee
8.0,0,39.0,0.0,4.87,1,2,v Australia,Hamilton,2017-02-05,ODI # 3832,48.0,Tim Southee
6.5,0,47.0,2.0,6.87,3,2,v South Africa,Hamilton,2017-02-19,ODI # 3836,41.0,Tim Southee
10.0,0,60.0,1.0,6.0,1,2,v South Africa,Christchurch,2017-02-22,ODI # 3839,60.0,Tim Southee
10.0,0,66.0,1.0,6.6,1,1,v South Africa,Wellington,2017-02-25,ODI # 3841,60.0,Tim Southee
10.0,0,70.0,1.0,7.0,4,1,v South Africa,Hamilton,2017-03-01,ODI # 3843,60.0,Tim Southee
