Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
7.0,0,42.0,1.0,6.0,1,2,v Pakistan,Sydney,2017-01-22,ODI # 3822,42.0,Mitchell Starc
9.1,1,42.0,4.0,4.58,1,2,v Pakistan,Adelaide,2017-01-26,ODI # 3826,54.0,Mitchell Starc
10.0,0,59.0,1.0,5.9,1,1,v New Zealand,Auckland,2017-01-30,ODI # 3829,60.0,Mitchell Starc
10.0,1,62.0,3.0,6.2,1,1,v New Zealand,Hamilton,2017-02-05,ODI # 3832,60.0,Mitchell Starc
9.0,0,52.0,0.0,5.77,1,1,v New Zealand,Birmingham,2017-06-02,ODI # 3876,54.0,Mitchell Starc
8.3,2,29.0,4.0,3.41,1,1,v Bangladesh,The Oval,2017-06-05,ODI # 3879,51.0,Mitchell Starc
10.0,0,52.0,1.0,5.2,1,2,v England,Birmingham,2017-06-10,ODI # 3885,60.0,Mitchell Starc
10.0,0,71.0,2.0,7.1,1,2,v England,Melbourne,2018-01-14,ODI # 3951,60.0,Mitchell Starc
10.0,0,59.0,4.0,5.9,1,2,v England,Brisbane,2018-01-19,ODI # 3958,60.0,Mitchell Starc
10.0,0,63.0,0.0,6.3,1,1,v England,Sydney,2018-01-21,ODI # 3960,60.0,Mitchell Starc
9.0,0,63.0,1.0,7.0,1,1,v England,Perth,2018-01-28,ODI # 3968,54.0,Mitchell Starc
8.0,0,47.0,0.0,5.87,3,2,v South Africa,Perth,2018-11-04,ODI # 4065,48.0,Mitchell Starc
10.0,1,51.0,2.0,5.1,1,2,v South Africa,Adelaide,2018-11-09,ODI # 4067,60.0,Mitchell Starc
10.0,1,57.0,2.0,5.7,1,1,v South Africa,Hobart,2018-11-11,ODI # 4069,60.0,Mitchell Starc
7.0,1,31.0,1.0,4.42,1,1,v Afghanistan,Bristol,2019-06-01,ODI # 4146,42.0,Mitchell Starc
10.0,1,46.0,5.0,4.6,1,2,v West Indies,Nottingham,2019-06-06,ODI # 4152,60.0,Mitchell Starc
10.0,0,74.0,1.0,7.4,2,1,v India,The Oval,2019-06-09,ODI # 4155,60.0,Mitchell Starc
9.0,1,43.0,2.0,4.77,2,2,v Pakistan,Taunton,2019-06-12,ODI # 4157,54.0,Mitchell Starc
10.0,0,55.0,4.0,5.5,1,2,v Sri Lanka,The Oval,2019-06-15,ODI # 4159,60.0,Mitchell Starc
10.0,0,55.0,2.0,5.5,1,2,v Bangladesh,Nottingham,2019-06-20,ODI # 4166,60.0,Mitchell Starc
8.4,1,43.0,4.0,4.96,2,2,v England,Lord's,2019-06-25,ODI # 4173,52.0,Mitchell Starc
9.4,1,26.0,5.0,2.68,2,2,v New Zealand,Lord's,2019-06-29,ODI # 4178,58.0,Mitchell Starc
9.0,0,59.0,2.0,6.55,1,1,v South Africa,Manchester,2019-07-06,ODI # 4188,54.0,Mitchell Starc
9.0,0,70.0,1.0,7.77,2,2,v England,Birmingham,2019-07-11,ODI # 4191,54.0,Mitchell Starc
